"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"The Dawning Archaic","","M","224","","137","","641","88.3%","55.7%","95","","199","","294","","330","",""
"Rancorous Archaic","","C","9941","7.55","1275","10.73","1725","27.2%","53.5%","274","","541","59.0%","815","56.4%","883","50.2%","6.3pp"
"Sundering Archaic","","U","3573","5.53","721","7.30","2101","56.0%","57.4%","361","","657","63.8%","1018","61.4%","1037","53.2%","8.2pp"
"Together as One","","R","792","2.67","422","","1696","80.3%","58.4%","252","","523","67.1%","775","66.1%","849","50.4%","15.7pp"
"Transcendent Archaic","","U","3612","5.81","645","7.62","1570","48.9%","52.4%","237","","483","","720","54.0%","825","49.9%","4.1pp"
"Ajani's Response","W","C","8160","5.55","1113","7.93","3822","63.4%","59.0%","664","57.5%","1012","60.6%","1676","59.4%","2114","58.7%","0.7pp"
"Antiquities on the Loose","W","R","556","2.17","275","","1239","81.6%","61.3%","220","","341","","561","66.3%","675","57.3%","9.0pp"
"Ascendant Dustspeaker","W","C","9319","6.74","1126","9.61","2702","46.1%","58.1%","444","","687","61.1%","1131","57.4%","1563","58.7%","-1.3pp"
"Daydream","W","U","3454","5.76","458","","861","37.3%","53.5%","158","","213","","371","","489","",""
"Dig Site Inventory","W","C","8272","6.01","1184","8.25","3766","61.1%","58.9%","626","57.2%","893","59.7%","1519","58.7%","2239","59.0%","-0.3pp"
"Eager Glyphmage","W","C","8804","6.35","1328","8.47","4206","59.3%","57.7%","716","59.6%","1036","55.1%","1752","57.0%","2433","58.3%","-1.4pp"
"Elite Interceptor","W","C","7619","5.16","1480","6.44","6537","81.2%","60.4%","1187","63.1%","1636","61.0%","2823","61.9%","3685","59.2%","2.7pp"
"Emeritus of Truce","W","M","234","","122","","529","82.8%","56.5%","90","","137","","227","","299","",""
"Ennis, Debate Moderator","W","U","2805","4.67","486","","1655","65.6%","55.8%","289","","392","","681","53.3%","965","57.3%","-4.0pp"
